"Subject" "Alter" "Year" "Month" "Day" "Age_days" "Age_years" "Gender" "Age_group" "Condition" "Game" "Team" "Phase" "chest"
"46" 249546 "02.06.06" 2 6 6 906 2.4805 "male" "2y" "Child_help" "Tower" "Chr_Han" "Test2" -0.00931229276315789
"47" 249546 "02.06.06" 2 6 6 906 2.4805 "male" "2y" "E1_help" "Deco" "Chr_Han" "Test1" -0.00341829276315789
"48" 249546 "02.06.06" 2 6 6 906 2.4805 "male" "2y" "E1_help" "Tower" "Chr_Han" "Test3" -0.0157051743421053
"49" 248461 "02.06.09" 2 6 9 909 2.4887 "female" "2y" "Child_help" "Deco" "Chr_Han" "Test1" -0.0184813388157895
"50" 248461 "02.06.09" 2 6 9 909 2.4887 "female" "2y" "Child_help" "Tower" "Chr_Han" "Test3" -0.0203625756578947
"51" 248461 "02.06.09" 2 6 9 909 2.4887 "female" "2y" "E1_help" "Deco" "Chr_Han" "Test4" 0.0232366377923976
"52" 248461 "02.06.09" 2 6 9 909 2.4887 "female" "2y" "E1_help" "Tower" "Chr_Han" "Test2" -0.0463612467105263
"53" 247474 "02.06.11" 2 6 11 911 2.4942 "female" "2y" "Child_help" "Tower" "Chr_Han" "Test4" -0.00862177412280702
"54" 247474 "02.06.11" 2 6 11 911 2.4942 "female" "2y" "E1_help" "Deco" "Chr_Han" "Test3" 0.0131118837719298
"55" 247474 "02.06.11" 2 6 11 911 2.4942 "female" "2y" "E1_help" "Tower" "Chr_Han" "Test1" 0.00250854166666666
"56" 251487 "02.06.11" 2 6 11 911 2.4942 "female" "2y" "Child_help" "Deco" "San_Step" "Test2" -0.00956632894736843
"57" 251487 "02.06.11" 2 6 11 911 2.4942 "female" "2y" "Child_help" "Tower" "San_Step" "Test4" -0.00853151315789474
"58" 251487 "02.06.11" 2 6 11 911 2.4942 "female" "2y" "E1_help" "Deco" "San_Step" "Test3" -0.00152232894736842
"59" 251487 "02.06.11" 2 6 11 911 2.4942 "female" "2y" "E1_help" "Tower" "San_Step" "Test1" -0.00956632894736843
"60" 249054 "02.06.11" 2 6 11 911 2.4942 "female" "2y" "Child_help" "Tower" "San_Step" "Test3" -0.0135274736842105
"61" 249054 "02.06.11" 2 6 11 911 2.4942 "female" "2y" "E1_help" "Deco" "San_Step" "Test4" 0.00101743421052631
"62" 250015 "02.06.12" 2 6 12 912 2.4969 "female" "2y" "Child_help" "Deco" "Chr_Han" "Test2" -0.0174470877192982
"63" 250015 "02.06.12" 2 6 12 912 2.4969 "female" "2y" "Child_help" "Tower" "Chr_Han" "Test4" -0.0208180219298245
"64" 250015 "02.06.12" 2 6 12 912 2.4969 "female" "2y" "E1_help" "Deco" "Chr_Han" "Test3" -0.0135246271929825
"65" 250015 "02.06.12" 2 6 12 912 2.4969 "female" "2y" "E1_help" "Tower" "Chr_Han" "Test1" -0.0174470877192982
"66" 246983 "02.06.13" 2 6 13 913 2.4997 "female" "2y" "Child_help" "Deco" "Chr_Han" "Test3" 0.000406889802631584
"67" 246983 "02.06.13" 2 6 13 913 2.4997 "female" "2y" "E1_help" "Deco" "Chr_Han" "Test2" -0.0204676365131579
"68" 246983 "02.06.13" 2 6 13 913 2.4997 "female" "2y" "E1_help" "Tower" "Chr_Han" "Test4" -0.00704547861842106
"69" 247224 "02.06.13" 2 6 13 913 2.4997 "female" "2y" "Child_help" "Deco" "Chr_Han" "Test3" 0.0310675131578947
"70" 247224 "02.06.13" 2 6 13 913 2.4997 "female" "2y" "Child_help" "Tower" "Chr_Han" "Test1" 0.025718875
"71" 247224 "02.06.13" 2 6 13 913 2.4997 "female" "2y" "E1_help" "Deco" "Chr_Han" "Test2" 0.025318197368421
"72" 247224 "02.06.13" 2 6 13 913 2.4997 "female" "2y" "E1_help" "Tower" "Chr_Han" "Test4" 0.0282293815789474
"73" 247456 "02.06.15" 2 6 15 915 2.5051 "male" "2y" "Child_help" "Deco" "Chr_Han" "Test3" 1.35460526315811e-05
"74" 247236 "02.06.17" 2 6 17 917 2.5106 "female" "2y" "Child_help" "Deco" "Chr_Han" "Test1" -0.0010272331871345
"75" 247236 "02.06.17" 2 6 17 917 2.5106 "female" "2y" "Child_help" "Tower" "Chr_Han" "Test3" -0.0123947858187135
"76" 247236 "02.06.17" 2 6 17 917 2.5106 "female" "2y" "E1_help" "Tower" "Chr_Han" "Test2" 0.000174345760233911
"77" 250591 "02.06.17" 2 6 17 917 2.5106 "male" "2y" "Child_help" "Deco" "San_Step" "Test4" -0.0193434407894737
"78" 250591 "02.06.17" 2 6 17 917 2.5106 "male" "2y" "E1_help" "Deco" "San_Step" "Test1" -0.0118176907894737
"79" 246661 "02.06.18" 2 6 18 918 2.5133 "female" "2y" "Child_help" "Deco" "Chr_Han" "Test4" -0.0143142412280702
"80" 246661 "02.06.18" 2 6 18 918 2.5133 "female" "2y" "Child_help" "Tower" "Chr_Han" "Test2" 0.00545740350877193
"81" 246661 "02.06.18" 2 6 18 918 2.5133 "female" "2y" "E1_help" "Deco" "Chr_Han" "Test1" 0.00545740350877193
"82" 246661 "02.06.18" 2 6 18 918 2.5133 "female" "2y" "E1_help" "Tower" "Chr_Han" "Test3" -0.0407699978070175
"83" 255137 "02.06.18" 2 6 18 918 2.5133 "male" "2y" "Child_help" "Deco" "San_Step" "Test1" 0.00469037171052631
"84" 255137 "02.06.18" 2 6 18 918 2.5133 "male" "2y" "Child_help" "Tower" "San_Step" "Test3" -0.0616517664473684
"85" 255137 "02.06.18" 2 6 18 918 2.5133 "male" "2y" "E1_help" "Deco" "San_Step" "Test4" 0.0332079243421053
"86" 255137 "02.06.18" 2 6 18 918 2.5133 "male" "2y" "E1_help" "Tower" "San_Step" "Test2" -0.0120356809210526
"87" 249525 "02.06.20" 2 6 20 920 2.5188 "male" "2y" "Child_help" "Deco" "San_Step" "Test1" -0.00505019078947369
"88" 249525 "02.06.20" 2 6 20 920 2.5188 "male" "2y" "Child_help" "Tower" "San_Step" "Test3" 0.00482261842105261
"89" 249525 "02.06.20" 2 6 20 920 2.5188 "male" "2y" "E1_help" "Deco" "San_Step" "Test4" -0.0102369802631579
"90" 249525 "02.06.20" 2 6 20 920 2.5188 "male" "2y" "E1_help" "Tower" "San_Step" "Test2" -0.0121850789473684
"91" 247527 "02.06.22" 2 6 22 922 2.5243 "male" "2y" "Child_help" "Deco" "Chr_Han" "Test4" 0.000459039160400992
"92" 247527 "02.06.22" 2 6 22 922 2.5243 "male" "2y" "Child_help" "Tower" "Chr_Han" "Test2" 0.0176484635025063
"93" 247527 "02.06.22" 2 6 22 922 2.5243 "male" "2y" "E1_help" "Deco" "Chr_Han" "Test1" -0.0110430266290727
"94" 247527 "02.06.22" 2 6 22 922 2.5243 "male" "2y" "E1_help" "Tower" "Chr_Han" "Test3" -0.0391573226817043
"95" 249233 "02.06.26" 2 6 26 926 2.5352 "male" "2y" "Child_help" "Deco" "Chr_Han" "Test1" 0.0115659984193438
"96" 249233 "02.06.26" 2 6 26 926 2.5352 "male" "2y" "Child_help" "Tower" "Chr_Han" "Test3" 0.016804590524607
"97" 249233 "02.06.26" 2 6 26 926 2.5352 "male" "2y" "E1_help" "Tower" "Chr_Han" "Test2" -0.0106281200017088
"98" 249799 "02.06.26" 2 6 26 926 2.5352 "female" "2y" "Child_help" "Deco" "San_Step" "Test3" 0.00750009210526316
"99" 249799 "02.06.26" 2 6 26 926 2.5352 "female" "2y" "Child_help" "Tower" "San_Step" "Test1" 0.0111661973684211
"100" 249799 "02.06.26" 2 6 26 926 2.5352 "female" "2y" "E1_help" "Deco" "San_Step" "Test2" -0.0104854144736842
"101" 249799 "02.06.26" 2 6 26 926 2.5352 "female" "2y" "E1_help" "Tower" "San_Step" "Test4" -0.00124357894736842
"102" 247384 "02.06.28" 2 6 28 928 2.5407 "male" "2y" "Child_help" "Deco" "Chr_Han" "Test2" -0.0101356743421053
"103" 247384 "02.06.28" 2 6 28 928 2.5407 "male" "2y" "Child_help" "Tower" "Chr_Han" "Test4" -0.0234874835526316
"104" 247384 "02.06.28" 2 6 28 928 2.5407 "male" "2y" "E1_help" "Deco" "Chr_Han" "Test3" -0.0150620888157895
"105" 247384 "02.06.28" 2 6 28 928 2.5407 "male" "2y" "E1_help" "Tower" "Chr_Han" "Test1" -0.0107930756578947
"106" 241079 "05.05.03" 5 5 3 1953 5.347 "female" "5y" "Child_help" "Deco" "Nin_Step" "Test1" -0.00561485197368421
"107" 241079 "05.05.03" 5 5 3 1953 5.347 "female" "5y" "Child_help" "Tower" "Nin_Step" "Test3" -0.00193453618421053
"108" 241079 "05.05.03" 5 5 3 1953 5.347 "female" "5y" "E1_help" "Deco" "Nin_Step" "Test4" 0.0087789572368421
"109" 241039 "05.05.04" 5 5 4 1954 5.3498 "male" "5y" "Child_help" "Deco" "Nin_Step" "Test2" -0.00541730263157894
"110" 241039 "05.05.04" 5 5 4 1954 5.3498 "male" "5y" "Child_help" "Tower" "Nin_Step" "Test4" -0.00860243421052631
"111" 241039 "05.05.04" 5 5 4 1954 5.3498 "male" "5y" "E1_help" "Deco" "Nin_Step" "Test3" -0.0209691052631578
