"Subject"	"Gender"	"Age_group"	"Condition"	"Game"	"Team"	"Phase"	"Time"	"Change"	"z.time"	"num.phase"	"change.hip"	"Change.diff"
"238433"	"female"	"5y"	"E1_help"	"Deco"	"Chr_Han"	"Test2"	14	0.03652	0.730205221722801	-0.478593722064299	-1.12017792740929	0.076522625
"238433"	"female"	"5y"	"E1_help"	"Deco"	"Chr_Han"	"Test2"	15	0.0281735	0.912756527153501	-0.478593722064299	-0.85162041335576	0.05919375
"238433"	"female"	"5y"	"E1_help"	"Deco"	"Chr_Han"	"Test2"	16	0.01579075	1.0953078325842	-0.478593722064299	-1.20784714302136	0.058725625
"238433"	"female"	"5y"	"E1_help"	"Deco"	"Chr_Han"	"Test2"	17	0.00233125000000001	1.2778591380149	-0.478593722064299	-1.3596070474616	0.050342
"238433"	"female"	"5y"	"E1_help"	"Deco"	"Chr_Han"	"Test2"	18	0.00948787500000003	1.4604104434456	-0.478593722064299	-1.15444882463679	0.05063675
"238433"	"female"	"5y"	"E1_help"	"Deco"	"Chr_Han"	"Test2"	19	0.03799375	1.6429617488763	-0.478593722064299	-0.545544301999413	0.05877675
"238433"	"female"	"5y"	"E1_help"	"Tower"	"Chr_Han"	"Test4"	1	0.116884375	-1.6429617488763	0.403026292264673	0.370553780006415	0.107026875
"238433"	"female"	"5y"	"E1_help"	"Tower"	"Chr_Han"	"Test4"	2	0.02059875	-1.4604104434456	0.403026292264673	-1.71602437862759	0.0805305
"238433"	"female"	"5y"	"E1_help"	"Tower"	"Chr_Han"	"Test4"	3	-0.0172775	-1.2778591380149	0.403026292264673	-2.97036724678646	0.0846079375
"238433"	"female"	"5y"	"E1_help"	"Tower"	"Chr_Han"	"Test4"	4	0.000901041666666658	-1.0953078325842	0.403026292264673	-1.69494235777041	0.0601276666666666
"238433"	"female"	"5y"	"E1_help"	"Tower"	"Chr_Han"	"Test4"	5	-0.00244391666666666	-0.912756527153501	0.403026292264673	-1.48375215805081	0.0497190833333333
"238433"	"female"	"5y"	"E1_help"	"Tower"	"Chr_Han"	"Test4"	6	0.01956425	-0.730205221722801	0.403026292264673	-1.18636897002611	0.06178075
"238433"	"female"	"5y"	"E1_help"	"Tower"	"Chr_Han"	"Test4"	7	0.0030675	-0.547653916292101	0.403026292264673	-1.18932516192436	0.045382875
"238433"	"female"	"5y"	"E1_help"	"Tower"	"Chr_Han"	"Test4"	8	0.032998	-0.3651026108614	0.403026292264673	-0.512129242881521	0.052663375
"238433"	"female"	"5y"	"E1_help"	"Tower"	"Chr_Han"	"Test4"	9	0.028033125	-0.1825513054307	0.403026292264673	-0.578153976346038	0.0499068125
"238433"	"female"	"5y"	"E1_help"	"Tower"	"Chr_Han"	"Test4"	10	0.0234605000000001	0	0.403026292264673	-0.623806772974447	0.0468611250000001
"238433"	"female"	"5y"	"E1_help"	"Tower"	"Chr_Han"	"Test4"	11	0.010850375	0.1825513054307	0.403026292264673	-0.807965195197155	0.0404105
"238433"	"female"	"5y"	"E1_help"	"Tower"	"Chr_Han"	"Test4"	12	0.01310675	0.3651026108614	0.403026292264673	-0.868606370596652	0.044695125
"238433"	"female"	"5y"	"E1_help"	"Tower"	"Chr_Han"	"Test4"	13	0.023965	0.547653916292101	0.403026292264673	-0.746572825649049	0.05147175
"238433"	"female"	"5y"	"E1_help"	"Tower"	"Chr_Han"	"Test4"	14	0.0328575	0.730205221722801	0.403026292264673	-0.573413231184305	0.054572625
"238433"	"female"	"5y"	"E1_help"	"Tower"	"Chr_Han"	"Test4"	15	0.0166065	0.912756527153501	0.403026292264673	-0.894793521836902	0.04907075
"238433"	"female"	"5y"	"E1_help"	"Tower"	"Chr_Han"	"Test4"	16	-0.01408125	1.0953078325842	0.403026292264673	-1.63007057651906	0.042975625
"238433"	"female"	"5y"	"E1_help"	"Tower"	"Chr_Han"	"Test4"	17	-0.0237182499999999	1.2778591380149	0.403026292264673	-1.63153185468874	0.0333875000000001
"238433"	"female"	"5y"	"E1_help"	"Tower"	"Chr_Han"	"Test4"	18	0.00823387500000006	1.4604104434456	0.403026292264673	-0.543298194122234	0.02894175
"238433"	"female"	"5y"	"E1_help"	"Tower"	"Chr_Han"	"Test4"	19	0.03949525	1.6429617488763	0.403026292264673	-0.334357839564134	0.05321475
"238734"	"male"	"5y"	"Child_help"	"Deco"	"Chr_Han"	"Test3"	1	0.066492625	-1.6429617488763	1.28464630659364	-1.23252816868007	0.110253
"238734"	"male"	"5y"	"Child_help"	"Deco"	"Chr_Han"	"Test3"	2	0.04933175	-1.4604104434456	1.28464630659364	-0.2802681235801	0.061242125
"238734"	"male"	"5y"	"Child_help"	"Deco"	"Chr_Han"	"Test3"	3	0.0434303125	-1.2778591380149	1.28464630659364	0.235804125155151	0.03807975
"238734"	"male"	"5y"	"Child_help"	"Deco"	"Chr_Han"	"Test3"	4	0.037442	-1.0953078325842	1.28464630659364	0.405859904990949	0.026403625
"238734"	"male"	"5y"	"Child_help"	"Deco"	"Chr_Han"	"Test3"	5	-0.000828000000000051	-0.912756527153501	1.28464630659364	0.802015780346687	-0.0251165
"238734"	"male"	"5y"	"Child_help"	"Deco"	"Chr_Han"	"Test3"	6	-0.003585	-0.730205221722801	1.28464630659364	0.514151455488661	-0.018245375
"238734"	"male"	"5y"	"Child_help"	"Deco"	"Chr_Han"	"Test3"	7	-0.00331131249999994	-0.547653916292101	1.28464630659364	0.588422506808409	-0.0204558124999999
"238734"	"male"	"5y"	"Child_help"	"Deco"	"Chr_Han"	"Test3"	8	-0.0313026875	-0.3651026108614	1.28464630659364	-0.239419605946887	-0.0207585625
"238734"	"male"	"5y"	"Child_help"	"Deco"	"Chr_Han"	"Test3"	9	-0.01943540625	-0.1825513054307	1.28464630659364	-0.0086124008241088	-0.01661103125
"238734"	"male"	"5y"	"Child_help"	"Deco"	"Chr_Han"	"Test3"	10	-0.00943537500000002	0	1.28464630659364	0.289267846015347	-0.016574125
"238734"	"male"	"5y"	"Child_help"	"Deco"	"Chr_Han"	"Test3"	11	-0.00496574999999999	0.1825513054307	1.28464630659364	0.163732465658564	-0.00790574999999999
"238734"	"male"	"5y"	"Child_help"	"Deco"	"Chr_Han"	"Test3"	12	-0.030646875	0.3651026108614	1.28464630659364	-0.55409147124252	-0.009578
"238734"	"male"	"5y"	"Child_help"	"Deco"	"Chr_Han"	"Test3"	13	-0.0377505625	0.547653916292101	1.28464630659364	-0.604365419934375	-0.0150001875
"238734"	"male"	"5y"	"Child_help"	"Deco"	"Chr_Han"	"Test3"	14	-0.033492375	0.730205221722801	1.28464630659364	-0.552062125855984	-0.012491375
"238734"	"male"	"5y"	"Child_help"	"Deco"	"Chr_Han"	"Test3"	15	-0.0193265625	0.912756527153501	1.28464630659364	-0.282336710452011	-0.00734699999999999
"238734"	"male"	"5y"	"Child_help"	"Deco"	"Chr_Han"	"Test3"	16	-0.00413199999999997	1.0953078325842	1.28464630659364	0.140895789812476	-0.00630818749999997
"238734"	"male"	"5y"	"Child_help"	"Deco"	"Chr_Han"	"Test3"	17	0.00767337499999998	1.2778591380149	1.28464630659364	0.547331065694303	-0.00809675000000003
"238734"	"male"	"5y"	"Child_help"	"Deco"	"Chr_Han"	"Test3"	18	0.00566856250000003	1.4604104434456	1.28464630659364	0.634336913339318	-0.013011625
"238734"	"male"	"5y"	"Child_help"	"Deco"	"Chr_Han"	"Test3"	19	-0.00720612500000001	1.6429617488763	1.28464630659364	0.290807607155775	-0.014396375
"247456"	"male"	"2y"	"Child_help"	"Deco"	"Chr_Han"	"Test3"	1	0.010899875	-1.6429617488763	1.28464630659364	3.65122044032706	-0.10868525
