ID	Alter	Year	Month	Day	Age_days	Age_years
242348	05.05.01	5	5	1	1951	5.34155
242985	05.05.01	5	5	1	1951	5.34155
243371	05.05.02	5	5	2	1952	5.34428
244034	05.05.03	5	5	3	1953	5.34702
243038	05.05.03	5	5	3	1953	5.34702
243376	05.05.03	5	5	3	1953	5.34702
243341	05.05.03	5	5	3	1953	5.34702
242463	05.05.04	5	5	4	1954	5.34976
244069	05.05.04	5	5	4	1954	5.34976
242810	05.05.05	5	5	5	1955	5.35250
243087	05.05.05	5	5	5	1955	5.35250
243017	05.05.06	5	5	6	1956	5.35524
242349	05.05.07	5	5	7	1957	5.35797
241191	05.05.08	5	5	8	1958	5.36071
243993	05.05.08	5	5	8	1958	5.36071
242867	05.05.09	5	5	9	1959	5.36345
243032	05.05.11	5	5	11	1961	5.36893
242981	05.05.11	5	5	11	1961	5.36893
242885	05.05.13	5	5	13	1963	5.37440
242956	05.05.14	5	5	14	1964	5.37714
243363	05.05.15	5	5	15	1965	5.37988
243136	05.05.17	5	5	17	1967	5.38535
243482	05.05.17	5	5	17	1967	5.38535
243101	05.05.17	5	5	17	1967	5.38535
243479	05.05.21	5	5	21	1971	5.39630
241184	05.05.21	5	5	21	1971	5.39630
243543	05.05.22	5	5	22	1972	5.39904
243495	05.05.22	5	5	22	1972	5.39904
243185	05.05.22	5	5	22	1972	5.39904
243384	05.05.23	5	5	23	1973	5.40178
256201	05.05.23	5	5	23	1973	5.40178
243596	05.05.24	5	5	24	1974	5.40452
242937	05.05.25	5	5	25	1975	5.40726
243014	05.05.26	5	5	26	1976	5.40999
241510	05.05.26	5	5	26	1976	5.40999
242583	05.05.27	5	5	27	1977	5.41273
251945	05.05.27	5	5	27	1977	5.41273
243807	05.05.28	5	5	28	1978	5.41547
243593	05.05.28	5	5	28	1978	5.41547
243528	05.05.30	5	5	30	1980	5.42094
242473	05.06.00	5	6	0	1980	5.42094
242422	05.06.02	5	6	2	1982	5.42642
243037	05.06.02	5	6	2	1982	5.42642
243328	05.06.02	5	6	2	1982	5.42642
248867	05.06.03	5	6	3	1983	5.42916
244070	05.06.03	5	6	3	1983	5.42916
243201	05.06.03	5	6	3	1983	5.42916
243386	05.06.07	5	6	7	1987	5.44011
243337	05.06.07	5	6	7	1987	5.44011
243513	05.06.10	5	6	10	1990	5.44832
243516	05.06.10	5	6	10	1990	5.44832
243215	05.06.13	5	6	13	1993	5.45654
243883	05.06.16	5	6	16	1996	5.46475
242461	05.06.17	5	6	17	1997	5.46749
243471	05.06.18	5	6	18	1998	5.47023
243000	05.06.20	5	6	20	2000	5.47570
243364	05.06.21	5	6	21	2001	5.47844
242362	05.06.22	5	6	22	2002	5.48118
242883	05.06.24	5	6	24	2004	5.48665
246018	05.06.25	5	6	25	2005	5.48939
241190	05.06.29	5	6	29	2009	5.50034
