"Subject" "Alter" "Year" "Month" "Day" "Age_days" "Age_years" "Gender" "Age_group" "Condition" "Game" "Team" "Phase" "expansion"
"46" 249546 "02.06.06" 2 6 6 906 2.4805 "male" "2y" "Child_help" "Tower" "Chr_Han" "Test2" -0.00114958881578947
"47" 249546 "02.06.06" 2 6 6 906 2.4805 "male" "2y" "E1_help" "Deco" "Chr_Han" "Test1" 0.0153829046052632
"48" 249546 "02.06.06" 2 6 6 906 2.4805 "male" "2y" "E1_help" "Tower" "Chr_Han" "Test3" -0.00824846381578946
"49" 248461 "02.06.09" 2 6 9 909 2.4887 "female" "2y" "Child_help" "Deco" "Chr_Han" "Test1" -0.030984541118421
"50" 248461 "02.06.09" 2 6 9 909 2.4887 "female" "2y" "Child_help" "Tower" "Chr_Han" "Test3" 0.00877607730263158
"51" 248461 "02.06.09" 2 6 9 909 2.4887 "female" "2y" "E1_help" "Deco" "Chr_Han" "Test4" -0.00217352942251474
"52" 248461 "02.06.09" 2 6 9 909 2.4887 "female" "2y" "E1_help" "Tower" "Chr_Han" "Test2" -0.0606144753289474
"53" 247474 "02.06.11" 2 6 11 911 2.4942 "female" "2y" "Child_help" "Tower" "Chr_Han" "Test4" -0.0175532412280702
"54" 247474 "02.06.11" 2 6 11 911 2.4942 "female" "2y" "E1_help" "Deco" "Chr_Han" "Test3" 0.0103686271929824
"55" 247474 "02.06.11" 2 6 11 911 2.4942 "female" "2y" "E1_help" "Tower" "Chr_Han" "Test1" -0.0214106096491228
"56" 251487 "02.06.11" 2 6 11 911 2.4942 "female" "2y" "Child_help" "Deco" "San_Step" "Test2" -0.0292609210526316
"57" 251487 "02.06.11" 2 6 11 911 2.4942 "female" "2y" "Child_help" "Tower" "San_Step" "Test4" -0.01092825
"58" 251487 "02.06.11" 2 6 11 911 2.4942 "female" "2y" "E1_help" "Deco" "San_Step" "Test3" -0.0124710921052632
"59" 251487 "02.06.11" 2 6 11 911 2.4942 "female" "2y" "E1_help" "Tower" "San_Step" "Test1" -0.0292609210526316
"60" 249054 "02.06.11" 2 6 11 911 2.4942 "female" "2y" "Child_help" "Tower" "San_Step" "Test3" 0.110134421052632
"61" 249054 "02.06.11" 2 6 11 911 2.4942 "female" "2y" "E1_help" "Deco" "San_Step" "Test4" 0.0133599243421053
"62" 250015 "02.06.12" 2 6 12 912 2.4969 "female" "2y" "Child_help" "Deco" "Chr_Han" "Test2" 0.0091546447368421
"63" 250015 "02.06.12" 2 6 12 912 2.4969 "female" "2y" "Child_help" "Tower" "Chr_Han" "Test4" -0.0141305131578947
"64" 250015 "02.06.12" 2 6 12 912 2.4969 "female" "2y" "E1_help" "Deco" "Chr_Han" "Test3" -0.00371052631578947
"65" 250015 "02.06.12" 2 6 12 912 2.4969 "female" "2y" "E1_help" "Tower" "Chr_Han" "Test1" 0.0091546447368421
"66" 246983 "02.06.13" 2 6 13 913 2.4997 "female" "2y" "Child_help" "Deco" "Chr_Han" "Test3" 0.00323533881578948
"67" 246983 "02.06.13" 2 6 13 913 2.4997 "female" "2y" "E1_help" "Deco" "Chr_Han" "Test2" 0.00399729934210527
"68" 246983 "02.06.13" 2 6 13 913 2.4997 "female" "2y" "E1_help" "Tower" "Chr_Han" "Test4" 0.0124033256578947
"69" 247224 "02.06.13" 2 6 13 913 2.4997 "female" "2y" "Child_help" "Deco" "Chr_Han" "Test3" 0.0191099035087719
"70" 247224 "02.06.13" 2 6 13 913 2.4997 "female" "2y" "Child_help" "Tower" "Chr_Han" "Test1" 0.0351186337719298
"71" 247224 "02.06.13" 2 6 13 913 2.4997 "female" "2y" "E1_help" "Deco" "Chr_Han" "Test2" 0.00779465350877193
"72" 247224 "02.06.13" 2 6 13 913 2.4997 "female" "2y" "E1_help" "Tower" "Chr_Han" "Test4" 0.0137146929824562
"73" 247456 "02.06.15" 2 6 15 915 2.5051 "male" "2y" "Child_help" "Deco" "Chr_Han" "Test3" -0.00808065789473684
"74" 247236 "02.06.17" 2 6 17 917 2.5106 "female" "2y" "Child_help" "Deco" "Chr_Han" "Test1" -0.0232579091739766
"75" 247236 "02.06.17" 2 6 17 917 2.5106 "female" "2y" "Child_help" "Tower" "Chr_Han" "Test3" -0.00952960654239767
"76" 247236 "02.06.17" 2 6 17 917 2.5106 "female" "2y" "E1_help" "Tower" "Chr_Han" "Test2" -0.0185226986476608
"77" 250591 "02.06.17" 2 6 17 917 2.5106 "male" "2y" "Child_help" "Deco" "San_Step" "Test4" 0.0120834013157895
"78" 250591 "02.06.17" 2 6 17 917 2.5106 "male" "2y" "E1_help" "Deco" "San_Step" "Test1" 0.0167890131578947
"79" 246661 "02.06.18" 2 6 18 918 2.5133 "female" "2y" "Child_help" "Deco" "Chr_Han" "Test4" 0.0209958103070175
"80" 246661 "02.06.18" 2 6 18 918 2.5133 "female" "2y" "Child_help" "Tower" "Chr_Han" "Test2" -0.00285775548245613
"81" 246661 "02.06.18" 2 6 18 918 2.5133 "female" "2y" "E1_help" "Deco" "Chr_Han" "Test1" -0.00285775548245613
"82" 246661 "02.06.18" 2 6 18 918 2.5133 "female" "2y" "E1_help" "Tower" "Chr_Han" "Test3" -0.0139649462719298
"83" 255137 "02.06.18" 2 6 18 918 2.5133 "male" "2y" "Child_help" "Deco" "San_Step" "Test1" 0.0979834210526316
"84" 255137 "02.06.18" 2 6 18 918 2.5133 "male" "2y" "Child_help" "Tower" "San_Step" "Test3" -9.27894736842473e-05
"85" 255137 "02.06.18" 2 6 18 918 2.5133 "male" "2y" "E1_help" "Deco" "San_Step" "Test4" 0.0115945263157895
"86" 255137 "02.06.18" 2 6 18 918 2.5133 "male" "2y" "E1_help" "Tower" "San_Step" "Test2" 0.0092113552631579
"87" 249525 "02.06.20" 2 6 20 920 2.5188 "male" "2y" "Child_help" "Deco" "San_Step" "Test1" 0.0280428442982456
"88" 249525 "02.06.20" 2 6 20 920 2.5188 "male" "2y" "Child_help" "Tower" "San_Step" "Test3" 0.0188490087719298
"89" 249525 "02.06.20" 2 6 20 920 2.5188 "male" "2y" "E1_help" "Deco" "San_Step" "Test4" 0.000255923245614022
"90" 249525 "02.06.20" 2 6 20 920 2.5188 "male" "2y" "E1_help" "Tower" "San_Step" "Test2" 0.0168808640350877
