"Age_group"	"Condition"	"Gender"	"Subject"	"Phase"	"aveChange"
"88"	"2y"	"E1_help"	"female"	"247039"	"Test4"	4e-04
"89"	"2y"	"Child_help"	"female"	"250391"	"Test1"	2e-04
"90"	"2y"	"E1_help"	"female"	"247236"	"Test2"	2e-04
"91"	"5y"	"Child_help"	"male"	"238734"	"Test3"	2e-04
"92"	"5y"	"E1_help"	"male"	"240894"	"Test3"	1e-04
"93"	"2y"	"Child_help"	"male"	"247456"	"Test3"	0
"94"	"2y"	"E1_help"	"male"	"253940"	"Test3"	-7e-04
"95"	"5y"	"Child_help"	"male"	"240596"	"Test3"	-8e-04
"96"	"2y"	"Child_help"	"female"	"247236"	"Test1"	-0.001
"97"	"5y"	"Child_help"	"female"	"238484"	"Test2"	-0.0011
"98"	"2y"	"E1_help"	"female"	"249799"	"Test4"	-0.0012
"99"	"5y"	"Child_help"	"female"	"238484"	"Test4"	-0.0012
"100"	"5y"	"Child_help"	"male"	"238463"	"Test2"	-0.0014
"101"	"5y"	"Child_help"	"male"	"241090"	"Test3"	-0.0014
"102"	"2y"	"E1_help"	"female"	"251487"	"Test3"	-0.0015
"103"	"2y"	"E1_help"	"female"	"250422"	"Test1"	-0.0016
"104"	"5y"	"Child_help"	"female"	"241079"	"Test3"	-0.0019
"105"	"2y"	"Child_help"	"male"	"251703"	"Test3"	-0.0028
"106"	"5y"	"Child_help"	"male"	"240596"	"Test1"	-0.0031
"107"	"5y"	"E1_help"	"female"	"240850"	"Test2"	-0.0031
"108"	"5y"	"E1_help"	"female"	"243396"	"Test1"	-0.0033
"109"	"2y"	"E1_help"	"male"	"249546"	"Test1"	-0.0034
"110"	"5y"	"Child_help"	"female"	"238628"	"Test3"	-0.0035
"111"	"2y"	"Child_help"	"female"	"250543"	"Test2"	-0.0036
"112"	"5y"	"E1_help"	"female"	"240850"	"Test4"	-0.0036
"113"	"5y"	"E1_help"	"female"	"240346"	"Test4"	-0.0048
"114"	"2y"	"Child_help"	"male"	"249525"	"Test1"	-0.0051
"115"	"5y"	"E1_help"	"male"	"240642"	"Test4"	-0.0052
"116"	"5y"	"Child_help"	"male"	"241039"	"Test2"	-0.0054
"117"	"5y"	"E1_help"	"female"	"240747"	"Test3"	-0.0055
"118"	"5y"	"Child_help"	"female"	"241079"	"Test1"	-0.0056
"119"	"2y"	"Child_help"	"male"	"253940"	"Test2"	-0.0057
"120"	"5y"	"Child_help"	"male"	"240302"	"Test3"	-0.0058
"121"	"2y"	"E1_help"	"female"	"247039"	"Test2"	-0.0059
"122"	"5y"	"Child_help"	"male"	"238373"	"Test1"	-0.0059
"123"	"5y"	"Child_help"	"female"	"243396"	"Test2"	-0.006
"124"	"2y"	"Child_help"	"male"	"249546"	"Test4"	-0.0061
"125"	"5y"	"E1_help"	"male"	"240807"	"Test3"	-0.0061
"126"	"5y"	"E1_help"	"female"	"238484"	"Test1"	-0.0064
"127"	"2y"	"Child_help"	"female"	"250422"	"Test4"	-0.0066
"128"	"2y"	"E1_help"	"male"	"251930"	"Test2"	-0.0067
"129"	"5y"	"Child_help"	"male"	"240302"	"Test1"	-0.0067
"130"	"2y"	"E1_help"	"female"	"246983"	"Test4"	-0.007
"131"	"2y"	"Child_help"	"female"	"250391"	"Test3"	-0.0073
"132"	"5y"	"Child_help"	"male"	"240891"	"Test1"	-0.0074
"133"	"2y"	"Child_help"	"male"	"251703"	"Test1"	-0.0082
"134"	"2y"	"E1_help"	"male"	"251703"	"Test4"	-0.0084
"135"	"2y"	"Child_help"	"female"	"251487"	"Test4"	-0.0085
"136"	"2y"	"Child_help"	"female"	"247474"	"Test4"	-0.0086
"137"	"5y"	"Child_help"	"male"	"241039"	"Test4"	-0.0086
"138"	"2y"	"Child_help"	"male"	"251930"	"Test1"	-0.0087
"139"	"2y"	"Child_help"	"male"	"249546"	"Test2"	-0.0093
"140"	"2y"	"Child_help"	"female"	"251487"	"Test2"	-0.0096
"141"	"2y"	"E1_help"	"female"	"251487"	"Test1"	-0.0096
"142"	"2y"	"E1_help"	"female"	"250422"	"Test3"	-0.0099
"143"	"2y"	"Child_help"	"female"	"250543"	"Test4"	-0.0101
"144"	"2y"	"Child_help"	"male"	"247384"	"Test2"	-0.0101
"145"	"2y"	"E1_help"	"male"	"249525"	"Test4"	-0.0102
"146"	"2y"	"E1_help"	"female"	"249799"	"Test2"	-0.0105
"147"	"5y"	"E1_help"	"male"	"240762"	"Test3"	-0.0105
"148"	"2y"	"E1_help"	"male"	"249233"	"Test2"	-0.0106
"149"	"2y"	"E1_help"	"male"	"247384"	"Test1"	-0.0108
"150"	"5y"	"Child_help"	"female"	"245115"	"Test2"	-0.0109
"151"	"2y"	"E1_help"	"male"	"247527"	"Test1"	-0.011
"152"	"2y"	"E1_help"	"male"	"250591"	"Test1"	-0.0118
"153"	"2y"	"Child_help"	"female"	"248543"	"Test1"	-0.0119
"154"	"2y"	"Child_help"	"female"	"250422"	"Test2"	-0.012
"155"	"2y"	"E1_help"	"male"	"255137"	"Test2"	-0.012
"156"	"5y"	"E1_help"	"female"	"245115"	"Test3"	-0.012
"157"	"2y"	"E1_help"	"male"	"249525"	"Test2"	-0.0122
"158"	"2y"	"Child_help"	"female"	"247236"	"Test3"	-0.0124
"159"	"2y"	"E1_help"	"female"	"250391"	"Test2"	-0.0127
"160"	"5y"	"E1_help"	"male"	"240891"	"Test2"	-0.0129
"161"	"2y"	"Child_help"	"female"	"249054"	"Test3"	-0.0135
"162"	"2y"	"E1_help"	"female"	"250015"	"Test3"	-0.0135
"163"	"5y"	"E1_help"	"female"	"238628"	"Test2"	-0.0141
"164"	"2y"	"Child_help"	"female"	"246661"	"Test4"	-0.0143
"165"	"5y"	"Child_help"	"male"	"239845"	"Test4"	-0.0147
"166"	"2y"	"E1_help"	"male"	"247384"	"Test3"	-0.0151
"167"	"2y"	"E1_help"	"male"	"249546"	"Test3"	-0.0157
"168"	"2y"	"Child_help"	"female"	"250015"	"Test2"	-0.0174
