"helped"	"Context"	"Condition"	"Gender"	"Target"	"Subject"	"Dyade"	"Age"	"Mean"	"SD"
"34"	"helped"	"incon"	"obs"	"f"	"target"	"NeeCo3eye_obs_incon_target_E1_5.839835729_f_D30"	"D30"	5.839835729	-0.0226192617121849	0.00924396594458893
"35"	"helped"	"incon"	"obs"	"f"	"target"	"NeeCo3eye_obs_incon_target_E1_5.894592745_f_D52"	"D52"	5.894592745	-0.0165845968954248	0.0138251711692548
"36"	"helped"	"incon"	"obs"	"f"	"target"	"NeeCo3eye_obs_incon_target_E2_5.77138946_f_D92"	"D92"	5.77138946	-0.00326019362745098	0.0177019201387693
"37"	"helped"	"incon"	"obs"	"m"	"target"	"NeeCo3eye_obs_incon_target_E1_5.388090349_m_D35"	"D35"	5.388090349	0.0135526344887955	0.00945318423237745
"38"	"helped"	"incon"	"obs"	"m"	"target"	"NeeCo3eye_obs_incon_target_E1_5.434633812_m_D14"	"D14"	5.434633812	0.00859025735294117	0.00517520315725985
"39"	"helped"	"incon"	"obs"	"m"	"target"	"NeeCo3eye_obs_incon_target_E1_5.538672142_m_D12"	"D12"	5.538672142	0.035197731004902	0.00308236694906262
"40"	"helped"	"incon"	"obs"	"m"	"target"	"NeeCo3eye_obs_incon_target_E1_5.694729637_m_D24"	"D24"	5.694729637	0.0165987408088235	0.00789010564550173
"41"	"helped"	"incon"	"obs"	"m"	"target"	"NeeCo3eye_obs_incon_target_E1_5.87816564_m_D17"	"D17"	5.87816564	-0.0104044990021008	0.0106938099737806
"42"	"helped"	"incon"	"obs"	"m"	"target"	"NeeCo3eye_obs_incon_target_E1_5.908281999_m_D28"	"D28"	5.908281999	-0.0202689470588235	0.0160049338939024
"43"	"helped"	"incon"	"obs"	"m"	"target"	"NeeCo3eye_obs_incon_target_E1_5.916495551_m_D74"	"D74"	5.916495551	0.0760948379901961	0.0276490748783306
"44"	"helped"	"incon"	"obs"	"m"	"target"	"NeeCo3eye_obs_incon_target_E2_5.590691307_m_D99"	"D99"	5.590691307	0.00753683366013072	0.0200348651913692
"45"	"helped"	"incon"	"obs"	"m"	"target"	"NeeCo3eye_obs_incon_target_E2_5.771389459_m_D98"	"D98"	5.771389459	-0.0134910098039216	0.013872576341076
"46"	"helped"	"incon"	"obs"	"m"	"target"	"NeeCo3eye_obs_incon_target_E2_5.9301848_m_D91"	"D91"	5.9301848	0.0230878732492997	0.0184828526975934
"47"	"helped"	"incon"	"unobs"	"f"	"target"	"NeeCo3eye_unobs_incon_target_E1_5.366187543_f_D37"	"D37"	5.366187543	0.00696294350490196	0.0284280203426387
"48"	"helped"	"incon"	"unobs"	"f"	"target"	"NeeCo3eye_unobs_incon_target_E1_5.407255305_f_D65"	"D65"	5.407255305	-0.0111946898459384	0.0203781789722846
"49"	"helped"	"incon"	"unobs"	"f"	"target"	"NeeCo3eye_unobs_incon_target_E1_5.546885695_f_D6"	"D6"	5.546885695	0.0134892817538126	0.0154122247620081
"50"	"helped"	"incon"	"unobs"	"f"	"target"	"NeeCo3eye_unobs_incon_target_E1_5.549623546_f_D41"	"D41"	5.549623546	0.0214277319502801	0.00612453999781479
"51"	"helped"	"incon"	"unobs"	"f"	"target"	"NeeCo3eye_unobs_incon_target_E1_5.555099247_f_D64"	"D64"	5.555099247	0.0258611454454859	0.00661078287846546
"52"	"helped"	"incon"	"unobs"	"f"	"target"	"NeeCo3eye_unobs_incon_target_E1_5.73853525_f_D63"	"D63"	5.73853525	-0.00386979264705882	0.0337221565280319
"53"	"helped"	"incon"	"unobs"	"f"	"target"	"NeeCo3eye_unobs_incon_target_E1_5.94934976_f_D69"	"D69"	5.94934976	0.0349412504901961	0.0278339787729136
"54"	"helped"	"incon"	"unobs"	"f"	"target"	"NeeCo3eye_unobs_incon_target_E2_5.546885695_f_D96"	"D96"	5.546885695	0.0032344493872549	0.0403124705200148
"55"	"helped"	"incon"	"unobs"	"m"	"target"	"NeeCo3eye_unobs_incon_target_E1_5.563312799_m_D62"	"D62"	5.563312799	0.0522779290966387	0.0117562261205091
"56"	"helped"	"incon"	"unobs"	"m"	"target"	"NeeCo3eye_unobs_incon_target_E1_5.579739904_m_D68"	"D68"	5.579739904	0.010643384610814	0.0240048659781986
"57"	"helped"	"incon"	"unobs"	"m"	"target"	"NeeCo3eye_unobs_incon_target_E1_5.585215606_m_D34"	"D34"	5.585215606	0.00378455147058823	0.00724862506393521
"58"	"helped"	"incon"	"unobs"	"m"	"target"	"NeeCo3eye_unobs_incon_target_E1_5.965776865_m_D18"	"D18"	5.965776865	-0.00505197794117647	0.0151934538341505
