"helped"	"Context"	"Condition"	"Gender"	"Dyade"	"Target"	"Subject"	"Age"	"Experimenter"	"Mean"	"SD"
"32"	"helped"	"incon"	"obs"	"f"	"D30"	"target"	"NeeCo3eye_obs_incon_target_E1_5.839835729_f_D30"	5.839835729	"E1"	-0.00354484700630251	0.00059445180811058
"33"	"helped"	"incon"	"obs"	"f"	"D52"	"target"	"NeeCo3eye_obs_incon_target_E1_5.894592745_f_D52"	5.894592745	"E1"	0.010547120506536	0.00592726155281478
"34"	"helped"	"incon"	"obs"	"f"	"D55"	"target"	"NeeCo3eye_obs_incon_target_E1_5.787816564_f_D55"	5.787816564	"E1"	0.0198156294117647	0.00233005150315887
"35"	"helped"	"incon"	"obs"	"f"	"D73"	"target"	"NeeCo3eye_obs_incon_target_E1_5.552361396_f_D73"	5.552361396	"E1"	0.0126937764939309	0.0239866784244605
"36"	"helped"	"incon"	"obs"	"f"	"D92"	"target"	"NeeCo3eye_obs_incon_target_E2_5.77138946_f_D92"	5.77138946	"E2"	0.00852234803921568	0.00459107187306438
"37"	"helped"	"incon"	"obs"	"m"	"D12"	"target"	"NeeCo3eye_obs_incon_target_E1_5.538672142_m_D12"	5.538672142	"E1"	0.0179789534313726	0.00242415243015014
"38"	"helped"	"incon"	"obs"	"m"	"D14"	"target"	"NeeCo3eye_obs_incon_target_E1_5.434633812_m_D14"	5.434633812	"E1"	0.0262890088235294	0.00484627315073535
"39"	"helped"	"incon"	"obs"	"m"	"D17"	"target"	"NeeCo3eye_obs_incon_target_E1_5.87816564_m_D17"	5.87816564	"E1"	0.00805547983193277	0.00334800914095139
"40"	"helped"	"incon"	"obs"	"m"	"D24"	"target"	"NeeCo3eye_obs_incon_target_E1_5.694729637_m_D24"	5.694729637	"E1"	-0.00224370784313726	0.00539934022296265
"41"	"helped"	"incon"	"obs"	"m"	"D28"	"target"	"NeeCo3eye_obs_incon_target_E1_5.908281999_m_D28"	5.908281999	"E1"	0.0240445133578431	0.00626711774458567
"42"	"helped"	"incon"	"obs"	"m"	"D35"	"target"	"NeeCo3eye_obs_incon_target_E1_5.388090349_m_D35"	5.388090349	"E1"	0.0187410801645658	0.0121951377738682
"43"	"helped"	"incon"	"obs"	"m"	"D74"	"target"	"NeeCo3eye_obs_incon_target_E1_5.916495551_m_D74"	5.916495551	"E1"	-0.0418910942401961	0.0163382193342546
"44"	"helped"	"incon"	"obs"	"m"	"D91"	"target"	"NeeCo3eye_obs_incon_target_E2_5.9301848_m_D91"	5.9301848	"E2"	-0.0193202211134454	0.00283115736739534
"45"	"helped"	"incon"	"obs"	"m"	"D98"	"target"	"NeeCo3eye_obs_incon_target_E2_5.771389459_m_D98"	5.771389459	"E2"	0.00173199019607842	0.00852819223993891
"46"	"helped"	"incon"	"obs"	"m"	"D99"	"target"	"NeeCo3eye_obs_incon_target_E2_5.590691307_m_D99"	5.590691307	"E2"	0.00440484509803924	0.00501011744004507
"47"	"helped"	"incon"	"unobs"	"f"	"D37"	"target"	"NeeCo3eye_unobs_incon_target_E1_5.366187543_f_D37"	5.366187543	"E1"	0.0162493171568627	0.0276373388251067
"48"	"helped"	"incon"	"unobs"	"f"	"D41"	"target"	"NeeCo3eye_unobs_incon_target_E1_5.549623546_f_D41"	5.549623546	"E1"	-0.00837685395658263	0.0104074670449499
"49"	"helped"	"incon"	"unobs"	"f"	"D6"	"target"	"NeeCo3eye_unobs_incon_target_E1_5.546885695_f_D6"	5.546885695	"E1"	-0.0197593938997821	0.0023667906541189
"50"	"helped"	"incon"	"unobs"	"f"	"D63"	"target"	"NeeCo3eye_unobs_incon_target_E1_5.73853525_f_D63"	5.73853525	"E1"	-0.012847712254902	0.0139653246188612
"51"	"helped"	"incon"	"unobs"	"f"	"D64"	"target"	"NeeCo3eye_unobs_incon_target_E1_5.555099247_f_D64"	5.555099247	"E1"	-0.00563456880656108	0.001221421114562
"52"	"helped"	"incon"	"unobs"	"f"	"D65"	"target"	"NeeCo3eye_unobs_incon_target_E1_5.407255305_f_D65"	5.407255305	"E1"	-0.00207084845938375	0.00652833558472088
"53"	"helped"	"incon"	"unobs"	"f"	"D69"	"target"	"NeeCo3eye_unobs_incon_target_E1_5.94934976_f_D69"	5.94934976	"E1"	0.000754654411764704	0.00388132909436192
"54"	"helped"	"incon"	"unobs"	"f"	"D96"	"target"	"NeeCo3eye_unobs_incon_target_E2_5.546885695_f_D96"	5.546885695	"E2"	-0.0173936089460784	0.0320430208242462
"55"	"helped"	"incon"	"unobs"	"m"	"D100"	"target"	"NeeCo3eye_unobs_incon_target_E2_5.412731006_m_D100"	5.412731006	"E2"	-0.0320726375	0.00923405622577677
"56"	"helped"	"incon"	"unobs"	"m"	"D101"	"target"	"NeeCo3eye_unobs_incon_target_E2_5.859000684_m_D101"	5.859000684	"E2"	0.00234899485294119	0.00440658984924308
"57"	"helped"	"incon"	"unobs"	"m"	"D18"	"target"	"NeeCo3eye_unobs_incon_target_E1_5.965776865_m_D18"	5.965776865	"E1"	-0.000248679166666618	0.00584409853301253
