"Helped"	"Context"	"Observation"	"Gender"	"Target"	"Subject"	"Dyade"	"Age"	"Mean"	"SD"
"34"	"helped"	"incon"	"obs"	"f"	"target"	"NeeCo3eye_obs_incon_target_E1_5.839835729_f_D30"	"D30"	5.839835729	-0.0261641087184874	0.00914615299176074
"35"	"helped"	"incon"	"obs"	"f"	"target"	"NeeCo3eye_obs_incon_target_E1_5.894592745_f_D52"	"D52"	5.894592745	-0.00603747638888887	0.00854181492625279
"36"	"helped"	"incon"	"obs"	"f"	"target"	"NeeCo3eye_obs_incon_target_E2_5.77138946_f_D92"	"D92"	5.77138946	0.0052621544117647	0.0205856062872758
"37"	"helped"	"incon"	"obs"	"m"	"target"	"NeeCo3eye_obs_incon_target_E1_5.388090349_m_D35"	"D35"	5.388090349	0.0322937146533613	0.0120740240688153
"38"	"helped"	"incon"	"obs"	"m"	"target"	"NeeCo3eye_obs_incon_target_E1_5.434633812_m_D14"	"D14"	5.434633812	0.0348792661764706	0.00760185322530129
"39"	"helped"	"incon"	"obs"	"m"	"target"	"NeeCo3eye_obs_incon_target_E1_5.538672142_m_D12"	"D12"	5.538672142	0.0531766844362745	0.00366208114621112
"40"	"helped"	"incon"	"obs"	"m"	"target"	"NeeCo3eye_obs_incon_target_E1_5.694729637_m_D24"	"D24"	5.694729637	0.0143550329656863	0.00315331716756317
"41"	"helped"	"incon"	"obs"	"m"	"target"	"NeeCo3eye_obs_incon_target_E1_5.87816564_m_D17"	"D17"	5.87816564	-0.00234901917016807	0.0116591772784547
"42"	"helped"	"incon"	"obs"	"m"	"target"	"NeeCo3eye_obs_incon_target_E1_5.908281999_m_D28"	"D28"	5.908281999	0.00377556629901962	0.0106019341511101
"43"	"helped"	"incon"	"obs"	"m"	"target"	"NeeCo3eye_obs_incon_target_E1_5.916495551_m_D74"	"D74"	5.916495551	0.03420374375	0.0121513737936044
"44"	"helped"	"incon"	"obs"	"m"	"target"	"NeeCo3eye_obs_incon_target_E2_5.590691307_m_D99"	"D99"	5.590691307	0.01194167875817	0.0246693226326397
"45"	"helped"	"incon"	"obs"	"m"	"target"	"NeeCo3eye_obs_incon_target_E2_5.771389459_m_D98"	"D98"	5.771389459	-0.0117590196078431	0.014524776545677
"46"	"helped"	"incon"	"obs"	"m"	"target"	"NeeCo3eye_obs_incon_target_E2_5.9301848_m_D91"	"D91"	5.9301848	0.00376765213585433	0.0188711281748579
"47"	"helped"	"incon"	"unobs"	"f"	"target"	"NeeCo3eye_unobs_incon_target_E1_5.366187543_f_D37"	"D37"	5.366187543	0.0232122606617647	0.00357053588734506
"48"	"helped"	"incon"	"unobs"	"f"	"target"	"NeeCo3eye_unobs_incon_target_E1_5.407255305_f_D65"	"D65"	5.407255305	-0.0132655383053221	0.0142722082035958
