"Context"	"Observation"	"Subj_ID"	"Gender"	"z.age"	"Age"	"Trial"	"Mean"
"1"	"Help"	"Observed"	"ProShame01"	"w"	0.29329616913177	"5.700205339"	"Trial 1"	0.00462192307692308
"3"	"Help"	"Observed"	"ProShame09"	"w"	0.436881106669751	"5.749486653"	"Trial 1"	-0.00999777403846153
"5"	"Help"	"Observed"	"ProShame100"	"w"	-0.528328753814305	"5.418206708"	"Trial 1"	0.0502356506410256
"7"	"Help"	"Observed"	"ProShame101"	"w"	0.0858957015330143	"5.629021218"	"Trial 1"	-0.00415412500000002
"9"	"Help"	"Observed"	"ProShame105"	"w"	-1.38983838195577	"5.122518823"	"Trial 1"	-0.0130175649038461
"10"	"Help"	"Observed"	"ProShame17"	"m"	1.00324391811346	"5.943874059"	"Trial 1"	0.00903168800904978
"12"	"Help"	"Observed"	"ProShame21"	"w"	0.221503700362779	"5.675564682"	"Trial 1"	-0.053163
"14"	"Help"	"Observed"	"ProShame25"	"w"	-1.04682991844083	"5.240246407"	"Trial 1"	0.0194002019230769
"16"	"Help"	"Observed"	"ProShame29"	"m"	-0.0576892360049669	"5.579739904"	"Trial 1"	0.0260624951923077
"17"	"Help"	"Observed"	"ProShame37"	"m"	0.468788870243349	"5.760438056"	"Trial 1"	0.00725621153846152
"19"	"Help"	"Observed"	"ProShame41"	"m"	-1.01492215486723	"5.25119781"	"Trial 1"	-0.00766548910256408
"21"	"Help"	"Observed"	"ProShame45"	"m"	-1.60521579117632	"5.048596851"	"Trial 1"	0.0617306891025641
"23"	"Help"	"Observed"	"ProShame49"	"w"	-0.807521690182051	"5.32238193"	"Trial 1"	-0.0479943942307692
"25"	"Help"	"Observed"	"ProShame53"	"m"	-1.1186223901234	"5.215605749"	"Trial 1"	0.0160326370192308
"27"	"Help"	"Observed"	"ProShame57"	"w"	-0.879314158951042	"5.297741273"	"Trial 1"	-0.0347724663461538
"29"	"Help"	"Observed"	"ProShame61"	"m"	-0.967060510963621	"5.267624914"	"Trial 1"	-0.0339375016025641
"31"	"Help"	"Unobserved"	"ProShame04"	"w"	1.64937613994795	"6.165639973"	"Trial 1"	0.00410771233974361
"33"	"Help"	"Unobserved"	"ProShame08"	"m"	1.11492109207784	"5.98220397"	"Trial 1"	0.0220814663461539
"35"	"Help"	"Unobserved"	"ProShame12"	"m"	1.08301332850424	"5.971252567"	"Trial 1"	0.0102426538461538
"37"	"Help"	"Unobserved"	"ProShame20"	"w"	-1.61319272988454	"5.045859001"	"Trial 1"	0.0179630945512821
"38"	"Help"	"Unobserved"	"ProShame36"	"m"	1.33827544000661	"6.058863792"	"Trial 1"	-0.0091248669871795
"40"	"Help"	"Unobserved"	"ProShame40"	"w"	1.28243685156763	"6.039698836"	"Trial 1"	0.022096375
"42"	"Help"	"Unobserved"	"ProShame48"	"m"	1.05908250363886	"5.963039014"	"Trial 1"	0.0271447451923077
"44"	"Help"	"Unobserved"	"ProShame56"	"w"	0.7719126285629	"5.864476386"	"Trial 1"	0.0120741367521368
"46"	"Help"	"Unobserved"	"ProShame60"	"m"	0.36508863790076	"5.724845996"	"Trial 1"	0.0977612836538461
"48"	"Help"	"Unobserved"	"ProShame64"	"w"	0.333180874327162	"5.713894593"	"Trial 1"	-0.00845868910256407
"50"	"Help"	"Unobserved"	"ProShame77"	"m"	-0.336882169459135	"5.483915127"	"Trial 1"	0.00870494230769229
"51"	"Help"	"Unobserved"	"ProShame78"	"w"	1.25850602961583	"6.031485284"	"Trial 1"	0.0290618221153846
"53"	"Help"	"Unobserved"	"ProShame85"	"m"	1.05908250363886	"5.963039014"	"Trial 1"	0.0184876778846154
"55"	"Help"	"Unobserved"	"ProShame87"	"m"	0.692143218172115	"5.837097878"	"Trial 1"	0.000699617788461521
"57"	"Help"	"Unobserved"	"ProShame89"	"w"	-0.00982758918778052	"5.596167009"	"Trial 1"	-0.0018396233974359
"58"	"Help"	"Unobserved"	"ProShame92"	"w"	-0.951106627720032	"5.273100616"	"Trial 1"	0.0561106912393162
"60"	"Help"	"Unobserved"	"ProShame97"	"m"	-1.60521579117632	"5.048596851"	"Trial 1"	0.0542563012820513
"61"	"Own-goal"	"Observed"	"ProShame02"	"w"	1.11492109207784	"5.98220397"	"Trial 1"	0.0201088557692308
"63"	"Own-goal"	"Observed"	"ProShame06"	"w"	1.05110556493065	"5.960301164"	"Trial 1"	0.0195200576923077
"65"	"Own-goal"	"Observed"	"ProShame10"	"w"	1.4419756723492	"6.094455852"	"Trial 1"	-0.0181892019230769
"67"	"Own-goal"	"Observed"	"ProShame103"	"m"	-1.72486990384892	"5.00752909"	"Trial 1"	0.0538896118589743
"69"	"Own-goal"	"Observed"	"ProShame14"	"w"	0.30925004946178	"5.70568104"	"Trial 1"	0.0966585
"71"	"Own-goal"	"Observed"	"ProShame22"	"w"	-0.233181937116546	"5.519507187"	"Trial 1"	-0.029269
"73"	"Own-goal"	"Observed"	"ProShame26"	"w"	-0.671913691352286	"5.368925394"	"Trial 1"	-0.0197893269230769
"75"	"Own-goal"	"Observed"	"ProShame34"	"w"	-1.47758473396835	"5.092402464"	"Trial 1"	0.0158842900641026
"77"	"Own-goal"	"Observed"	"ProShame38"	"m"	0.636304632646713	"5.817932923"	"Trial 1"	0.0025662548076923
"79"	"Own-goal"	"Observed"	"ProShame42"	"w"	-0.67989063297408	"5.366187543"	"Trial 1"	0.0424347147435897
"81"	"Own-goal"	"Observed"	"ProShame54"	"m"	1.56960672955717	"6.138261465"	"Trial 1"	0.0255310144230769
"82"	"Own-goal"	"Observed"	"ProShame58"	"m"	-1.45365391201654	"5.100616016"	"Trial 1"	0.107437331730769
"84"	"Own-goal"	"Observed"	"ProShame62"	"m"	0.763935686941106	"5.861738535"	"Trial 1"	0.0699025705128205
