"Subject"	"ID"	"Condition"	"Age"	"Gender"	"Age.cont"	"Trial"	"Mean"
"38"	"20190628T084403_ProShame2_69_w_obs_4_M_E2_5_4.818617385"	"69"	"obs"	"4"	"w"	"4.818617385"	"Test 1"	-0.05204335
"39"	"20190628T084403_ProShame2_69_w_obs_4_M_E2_5_4.818617385"	"69"	"obs"	"4"	"w"	"4.818617385"	"Test 2"	-0.0349078115384616
"40"	"20190628T091311_ProShame2_70_w_obs_4_M_E2_5_4.76386037"	"70"	"obs"	"4"	"w"	"4.76386037"	"Test 1"	-0.015035919284188
"41"	"20190628T091311_ProShame2_70_w_obs_4_M_E2_5_4.76386037"	"70"	"obs"	"4"	"w"	"4.76386037"	"Test 2"	-0.0218947962072649
"42"	"20190628T093723_ProShame2_71_w_obs_5_M_E2_5_5.199178645"	"71"	"obs"	"5"	"w"	"5.199178645"	"Test 1"	0.0186785568910257
"43"	"20190628T093723_ProShame2_71_w_obs_5_M_E2_5_5.199178645"	"71"	"obs"	"5"	"w"	"5.199178645"	"Test 2"	0.0313323709935898
"44"	"20190628T095218_ProShame2_72_m_obs_4_M_E2_5_4.698151951"	"72"	"obs"	"4"	"m"	"4.698151951"	"Test 1"	-0.00132674358974367
"45"	"20190628T095218_ProShame2_72_m_obs_4_M_E2_5_4.698151951"	"72"	"obs"	"4"	"m"	"4.698151951"	"Test 2"	-0.0200806521367522
"46"	"20190703T092802_ProShame2_74_w_obs_4_M_E2_6_4.583162218"	"74"	"obs"	"4"	"w"	"4.583162218"	"Test 1"	-0.0108011105769231
"47"	"20190703T092802_ProShame2_74_w_obs_4_M_E2_6_4.583162218"	"74"	"obs"	"4"	"w"	"4.583162218"	"Test 2"	0.00382669711538461
"48"	"20190703T095641_ProShame2_75_m_obs_4_M_E2_6_4.583162218"	"75"	"obs"	"4"	"m"	"4.583162218"	"Test 1"	-0.0373185644230769
"49"	"20190703T095641_ProShame2_75_m_obs_4_M_E2_6_4.583162218"	"75"	"obs"	"4"	"m"	"4.583162218"	"Test 2"	-0.00221695673076916
"50"	"20190703T101223_ProShame2_73_w_obs_4_M_E2_6_4.506502396"	"73"	"obs"	"4"	"w"	"4.506502396"	"Test 1"	0.0058124942307692
"51"	"20190703T101223_ProShame2_73_w_obs_4_M_E2_6_4.506502396"	"73"	"obs"	"4"	"w"	"4.506502396"	"Test 2"	0.0183148991452991
"52"	"20190703T103035_ProShame2_76_w_obs_5_M_E1_6_5.631759069"	"76"	"obs"	"5"	"w"	"5.631759069"	"Test 1"	0.0107785096153846
"53"	"20190703T103035_ProShame2_76_w_obs_5_M_E1_6_5.631759069"	"76"	"obs"	"5"	"w"	"5.631759069"	"Test 2"	-0.00263756410256412
"54"	"20190703T104639_ProShame2_77_w_obs_5_M_E1_6_5.661875428"	"77"	"obs"	"5"	"w"	"5.661875428"	"Test 1"	-0.0125640576923077
"55"	"20190703T104639_ProShame2_77_w_obs_5_M_E1_6_5.661875428"	"77"	"obs"	"5"	"w"	"5.661875428"	"Test 2"	-0.0216847211538462
"56"	"20190705T093018_ProShame2_78_w_obs_4_M_E2_6_4.054757016"	"78"	"obs"	"4"	"w"	"4.054757016"	"Test 1"	0.00844859150641025
"57"	"20190705T093018_ProShame2_78_w_obs_4_M_E2_6_4.054757016"	"78"	"obs"	"4"	"w"	"4.054757016"	"Test 2"	-0.00481472259615384
"58"	"20190705T094651_ProShame2_79_m_obs_4_M_E2_6_4.054757016"	"79"	"obs"	"4"	"m"	"4.054757016"	"Test 1"	-0.0234577740384615
"59"	"20190705T094651_ProShame2_79_m_obs_4_M_E2_6_4.054757016"	"79"	"obs"	"4"	"m"	"4.054757016"	"Test 2"	-0.0125499310897436
"60"	"20190705T104511_ProShame2_82_w_obs_5_M_E2_6_5.399041752"	"82"	"obs"	"5"	"w"	"5.399041752"	"Test 1"	-0.00196299903846153
"61"	"20190705T104511_ProShame2_82_w_obs_5_M_E2_6_5.399041752"	"82"	"obs"	"5"	"w"	"5.399041752"	"Test 2"	0.0031773894230769
"62"	"20190718T094249_ProShame2_35_m_unobs_4_NA_E2_7_4.34770705"	"35"	"unobs"	"4"	"m"	"4.34770705"	"Test 1"	0.0245329887820513
"63"	"20190718T094249_ProShame2_35_m_unobs_4_NA_E2_7_4.34770705"	"35"	"unobs"	"4"	"m"	"4.34770705"	"Test 2"	0.0108942580128205
"64"	"20190718T095446_ProShame2_36_w_unobs_4_NA_E1_7_4.495550992"	"36"	"unobs"	"4"	"w"	"4.495550992"	"Test 1"	0.0259186426282052
"65"	"20190718T095446_ProShame2_36_w_unobs_4_NA_E1_7_4.495550992"	"36"	"unobs"	"4"	"w"	"4.495550992"	"Test 2"	0.00582141185897437
"66"	"20190718T101831_ProShame2_37_m_unobs_5_NA_E1_7_5.160848734"	"37"	"unobs"	"5"	"m"	"5.160848734"	"Test 1"	0.006475375
"67"	"20190718T101831_ProShame2_37_m_unobs_5_NA_E1_7_5.160848734"	"37"	"unobs"	"5"	"m"	"5.160848734"	"Test 2"	0.0096810737179487
"68"	"20190719T082534_ProShame2_83_m_obs_5_NA_E2_8_5.067761807"	"83"	"obs"	"5"	"m"	"5.067761807"	"Test 1"	-0.00739414743589742
"69"	"20190719T082534_ProShame2_83_m_obs_5_NA_E2_8_5.067761807"	"83"	"obs"	"5"	"m"	"5.067761807"	"Test 2"	-0.00347723717948718
"70"	"20190719T084003_ProShame2_84_m_obs_5_NA_E2_8_5.631759069"	"84"	"obs"	"5"	"m"	"5.631759069"	"Test 1"	-0.0108411874493927
"71"	"20190719T084003_ProShame2_84_m_obs_5_NA_E2_8_5.631759069"	"84"	"obs"	"5"	"m"	"5.631759069"	"Test 2"	0.0201105856275304
"72"	"20190719T090042_ProShame2_85_m_obs_5_NA_E2_8_5.141683778"	"85"	"obs"	"5"	"m"	"5.141683778"	"Test 1"	-0.0217685692307692
"73"	"20190719T093120_ProShame2_87_w_obs_5_NA_E1_8_5.363449692"	"87"	"obs"	"5"	"w"	"5.363449692"	"Test 1"	0.0609628819444444
"74"	"20190719T093120_ProShame2_87_w_obs_5_NA_E1_8_5.363449692"	"87"	"obs"	"5"	"w"	"5.363449692"	"Test 2"	0.0909794983974359
"75"	"20190719T094610_ProShame2_88_m_obs_5_M_E1_8_5.07871321"	"88"	"obs"	"5"	"m"	"5.07871321"	"Test 1"	-0.0186935769230769
"76"	"20190719T094610_ProShame2_88_m_obs_5_M_E1_8_5.07871321"	"88"	"obs"	"5"	"m"	"5.07871321"	"Test 2"	0.0418613358974359
"77"	"20190719T101907_ProShame2_90_m_obs_4_M_E2_8_4.396988364"	"90"	"obs"	"4"	"m"	"4.396988364"	"Test 1"	-0.00302053044871797
"78"	"20190723T082441_ProShame2_38_w_unobs_4_NA_E1_8_4.629705681"	"38"	"unobs"	"4"	"w"	"4.629705681"	"Test 1"	0.0056046298076923
"79"	"20190723T085259_ProShame2_39_m_unobs_5_NA_E2_8_5.034907598"	"39"	"unobs"	"5"	"m"	"5.034907598"	"Test 1"	-0.0309551105769231
"80"	"20190723T085259_ProShame2_39_m_unobs_5_NA_E2_8_5.034907598"	"39"	"unobs"	"5"	"m"	"5.034907598"	"Test 2"	-0.0139545689102564
"81"	"20190723T091126_ProShame2_40_m_unobs_4_NA_E2_8_4.845995893"	"40"	"unobs"	"4"	"m"	"4.845995893"	"Test 1"	-0.00673568818681319
"82"	"20190723T091126_ProShame2_40_m_unobs_4_NA_E2_8_4.845995893"	"40"	"unobs"	"4"	"m"	"4.845995893"	"Test 2"	-0.0155275288461539
"83"	"20190723T092116_ProShame2_41_m_unobs_4_NA_E2_8_4.284736482"	"41"	"unobs"	"4"	"m"	"4.284736482"	"Test 1"	0.086836673076923
"84"	"20190723T092116_ProShame2_41_m_unobs_4_NA_E2_8_4.284736482"	"41"	"unobs"	"4"	"m"	"4.284736482"	"Test 2"	0.0180292067307692
"85"	"20190723T100731_ProShame2_43_w_unobs_5_NA_E1_8_5.054072553"	"43"	"unobs"	"5"	"w"	"5.054072553"	"Test 1"	-0.0617927192307692
"86"	"20190723T102440_ProShame2_44_m_unobs_4_NA_E1_8_4.421629021"	"44"	"unobs"	"4"	"m"	"4.421629021"	"Test 1"	-0.00747742307692313
"87"	"20190723T102440_ProShame2_44_m_unobs_4_NA_E1_8_4.421629021"	"44"	"unobs"	"4"	"m"	"4.421629021"	"Test 2"	-0.0129446495726496
"88"	"20190723T103926_ProShame2_45_m_unobs_4_NA_E1_8_4.788501027"	"45"	"unobs"	"4"	"m"	"4.788501027"	"Test 1"	0.000176651568825873
"89"	"20190723T103926_ProShame2_45_m_unobs_4_NA_E1_8_4.788501027"	"45"	"unobs"	"4"	"m"	"4.788501027"	"Test 2"	-0.00593796634615384
"90"	"20190731T085641_ProShame2_91_m_obs_5_F_E1_9_5.60164271"	"91"	"obs"	"5"	"m"	"5.60164271"	"Test 1"	0.0067382644230769
"91"	"20190731T085641_ProShame2_91_m_obs_5_F_E1_9_5.60164271"	"91"	"obs"	"5"	"m"	"5.60164271"	"Test 2"	-0.00128306249999998
"92"	"20190731T092113_ProShame2_92_m_obs_5_F_E1_9_5.694729637"	"92"	"obs"	"5"	"m"	"5.694729637"	"Test 1"	0.00626251442307693
"93"	"20190731T092113_ProShame2_92_m_obs_5_F_E1_9_5.694729637"	"92"	"obs"	"5"	"m"	"5.694729637"	"Test 2"	0.00241891346153847
"94"	"20190731T093518_ProShame2_93_w_obs_5_F_E1_9_5.724845996"	"93"	"obs"	"5"	"w"	"5.724845996"	"Test 1"	0.00391428685897439
"95"	"20190731T093518_ProShame2_93_w_obs_5_F_E1_9_5.724845996"	"93"	"obs"	"5"	"w"	"5.724845996"	"Test 2"	-0.00180314903846151
"96"	"20190731T102726_ProShame2_95_w_obs_5_F_E2_9_5.46201232"	"95"	"obs"	"5"	"w"	"5.46201232"	"Test 1"	0.000914373397435899
"97"	"20190731T102726_ProShame2_95_w_obs_5_F_E2_9_5.46201232"	"95"	"obs"	"5"	"w"	"5.46201232"	"Test 2"	0.0192221426282051
"98"	"20190801T090309_ProShame2_98_w_obs_4_M_E2_10_4.684462697"	"98"	"obs"	"4"	"w"	"4.684462697"	"Test 1"	-0.00200216538461538
"99"	"20190801T090309_ProShame2_98_w_obs_4_M_E2_10_4.684462697"	"98"	"obs"	"4"	"w"	"4.684462697"	"Test 2"	0.0205399820512821
"100"	"20190801T093228_ProShame2_99_m_obs_4_M_E2_10_4.752908966"	"99"	"obs"	"4"	"m"	"4.752908966"	"Test 1"	0.011559324198718
"101"	"20190801T093228_ProShame2_99_m_obs_4_M_E2_10_4.752908966"	"99"	"obs"	"4"	"m"	"4.752908966"	"Test 2"	0.0173834658653846
"102"	"20190801T094227_ProShame2_100_w_obs_4_M_E2_10_4.5229295"	"100"	"obs"	"4"	"w"	"4.5229295"	"Test 1"	-0.00613745192307692
"103"	"20190801T094227_ProShame2_100_w_obs_4_M_E2_10_4.5229295"	"100"	"obs"	"4"	"w"	"4.5229295"	"Test 2"	0.00313774038461539
"104"	"20190801T100235_ProShame2_101_w_obs_5_M_E1_10_5.01026694"	"101"	"obs"	"5"	"w"	"5.01026694"	"Test 1"	-0.0137111721153847
"105"	"20190801T100235_ProShame2_101_w_obs_5_M_E1_10_5.01026694"	"101"	"obs"	"5"	"w"	"5.01026694"	"Test 2"	-0.0279943942307692
"106"	"20190801T102055_ProShame2_102_m_obs_4_M_E1_10_4.950034223"	"102"	"obs"	"4"	"m"	"4.950034223"	"Test 1"	-0.00297021778846157
"107"	"20190808T094126_ProShame2_131_m_obs_5_F_E1_11_5.04312115"	"131"	"obs"	"5"	"m"	"5.04312115"	"Test 1"	-0.0214423157051282
"108"	"20190808T094126_ProShame2_131_m_obs_5_F_E1_11_5.04312115"	"131"	"obs"	"5"	"m"	"5.04312115"	"Test 2"	0.0106346025641026
"109"	"20190814T085058_ProShame2_46_w_unobs_5_NA_E2_10_5.336071184"	"46"	"unobs"	"5"	"w"	"5.336071184"	"Test 1"	-0.00401447243589745
"110"	"20190814T085058_ProShame2_46_w_unobs_5_NA_E2_10_5.336071184"	"46"	"unobs"	"5"	"w"	"5.336071184"	"Test 2"	-0.00360037500000001
"111"	"20190814T093420_ProShame2_47_m_unobs_4_NA_E2_10_4.930869268"	"47"	"unobs"	"4"	"m"	"4.930869268"	"Test 1"	-0.0217451494505495
