Subject	ID	Condition	Age	Gender	Age.cont	Trial	Mean
20191011T100812_ProShame2_126_w_unobs_4_NA_E1_13_4.999315537	126	unobs	4	w	4.999315537	Test_1	0.02735187820512818
20190801T100235_ProShame2_101_w_obs_5_M_E1_10_5.01026694	101	obs	5	w	5.01026694	Test_1	-0.01741026923076925
20190925T090738_ProShame2_136_w_obs_5_F_E1_13_5.01026694	136	obs	5	w	5.01026694	Test_1	-0.024326052884615496
20190529T103756_ProShame2_16_w_unobs_5_NA_E2_4_5.01026694	16	unobs	5	w	5.01026694	Test_1	-0.01576572275641027
20190524T105211_ProShame2_08_w_unobs_5_NA_E1_3_5.032169747	8	unobs	5	w	5.032169747	Test_1	-0.012626335096153766
20190723T085259_ProShame2_39_m_unobs_5_NA_E2_8_5.034907598	39	unobs	5	m	5.034907598	Test_1	-0.028483360576923192
20190808T094126_ProShame2_131_m_obs_5_F_E1_11_5.04312115	131	obs	5	m	5.04312115	Test_1	-0.013443875801282035
20190723T100731_ProShame2_43_w_unobs_5_NA_E1_8_5.054072553	43	unobs	5	w	5.054072553	Test_1	-0.009780778205128175
20190719T082534_ProShame2_83_m_obs_5_NA_E2_8_5.067761807	83	obs	5	m	5.067761807	Test_1	-0.015179378205128187
20190719T094610_ProShame2_88_m_obs_5_M_E1_8_5.07871321	88	obs	5	m	5.07871321	Test_1	-0.08781772115384616
20190822T104925_ProShame2_116_w_unobs_5_NA_E1_11_5.092402464	116	unobs	5	w	5.092402464	Test_1	0.018176133012820474
20190605T092332_ProShame2_18_w_unobs_5_NA_E2_3_5.136208077	18	unobs	5	w	5.136208077	Test_1	-0.002153575320512857
20191017T095500_ProShame2_152_w_obs_5_F_E1_15_5.138945927	152	obs	5	w	5.138945927	Test_1	-0.02841594677197803
20190719T090042_ProShame2_85_m_obs_5_NA_E2_8_5.141683778	85	obs	5	m	5.141683778	Test_1	-0.03509308012820511
20190718T101831_ProShame2_37_m_unobs_5_NA_E1_7_5.160848734	37	unobs	5	m	5.160848734	Test_1	-0.028172554487179487
20190626T101624_ProShame2_29_m_unobs_5_NA_E1_6_5.196440794	29	unobs	5	m	5.196440794	Test_1	-0.048047617788461505
20190628T093723_ProShame2_71_w_obs_5_M_E2_5_5.199178645	71	obs	5	w	5.199178645	Test_1	0.010324421474358986
20190822T085112_ProShame2_110_w_unobs_5_NA_E2_11_5.204654346	110	unobs	5	w	5.204654346	Test_1	-0.009099935737179507
20190619T092828_ProShame2_58_w_obs_5_M_E2_4_5.281314168	58	obs	5	w	5.281314168	Test_1	-0.009662807692307686
20190529T094902_ProShame2_12_m_unobs_5_NA_E2_4_5.297741273	12	unobs	5	m	5.297741273	Test_1	-0.05038402211538461
20191010T093256_ProShame2_147_w_obs_5_F_E1_14_5.319644079	147	obs	5	w	5.319644079	Test_1	0.03674435737179487
20190814T085058_ProShame2_46_w_unobs_5_NA_E2_10_5.336071184	46	unobs	5	w	5.336071184	Test_1	-0.028108753205128213
20190719T093120_ProShame2_87_w_obs_5_NA_E1_8_5.363449692	87	obs	5	w	5.363449692	Test_1	-0.02158356079059832
20190705T104511_ProShame2_82_w_obs_5_M_E2_6_5.399041752	82	obs	5	w	5.399041752	Test_1	-0.005482399038461524
20190731T102726_ProShame2_95_w_obs_5_F_E2_9_5.46201232	95	obs	5	w	5.46201232	Test_1	-0.007462618589743585
20190906T090657_ProShame2_117_m_unobs_5_NA_E1_12_5.472963723	117	unobs	5	m	5.472963723	Test_1	-0.0020583192307692378
20190527T085848_ProShame2_53_m_obs_5_NA_E1_3_5.492128679	53	obs	5	m	5.492128679	Test_1	0.004390883012820466
20190529T092900_ProShame2_11_w_unobs_5_NA_E2_4_5.544147844	11	unobs	5	w	5.544147844	Test_1	-0.026923637820512804
20190926T103233_ProShame2_145_m_obs_5_F_E1_14_5.56605065	145	obs	5	m	5.56605065	Test_1	0.005498600961538463
20190731T085641_ProShame2_91_m_obs_5_F_E1_9_5.60164271	91	obs	5	m	5.60164271	Test_1	-0.015385293269230809
20190524T085944_ProShame2_01_m_unobs_5_NA_E1_3_5.612594114	1	unobs	5	m	5.612594114	Test_1	0.023323726923076882
20190925T083424_ProShame2_135_w_obs_5_F_E1_13_5.618069815	135	obs	5	w	5.618069815	Test_1	-0.0683940456730769
20190719T084003_ProShame2_84_m_obs_5_NA_E2_8_5.631759069	84	obs	5	m	5.631759069	Test_1	-0.012511410526315754
20190703T103035_ProShame2_76_w_obs_5_M_E1_6_5.631759069	76	obs	5	w	5.631759069	Test_1	-0.052594092948718016
20190926T094044_ProShame2_142_w_obs_5_F_E2_14_5.639972621	142	obs	5	w	5.639972621	Test_1	0.013969668749999997
20190926T091327_ProShame2_141_w_obs_5_F_E2_14_5.653661875	141	obs	5	w	5.653661875	Test_1	-0.046175129807692325
20190703T104639_ProShame2_77_w_obs_5_M_E1_6_5.661875428	77	obs	5	w	5.661875428	Test_1	-0.027864245192307728
20190731T092113_ProShame2_92_m_obs_5_F_E1_9_5.694729637	92	obs	5	m	5.694729637	Test_1	-0.002002950320512795
20190731T093518_ProShame2_93_w_obs_5_F_E1_9_5.724845996	93	obs	5	w	5.724845996	Test_1	0.02593007772435899
20190522T093146_ProShame2_04_m_unobs_5_NA_E1_3_5.752224504	4	unobs	5	m	5.752224504	Test_1	0.02985215384615373
20190619T084846_ProShame2_59_m_obs_5_M_E2_4_5.757700205	59	obs	5	m	5.757700205	Test_1	0.011440592719780195
20190906T100635_ProShame2_121_m_unobs_5_NA_E2_12_5.77412731	121	unobs	5	m	5.77412731	Test_1	-0.023740680357142826
20190621T085957_ProShame2_64_w_obs_5_F_E1_5_5.839835729	64	obs	5	w	5.839835729	Test_1	-0.06519274038461545
20190619T091112_ProShame2_60_w_obs_5_M_E2_4_5.856262834	60	obs	5	w	5.856262834	Test_1	0.02238366943319842
20190926T100409_ProShame2_144_m_obs_5_F_E1_14_5.905544148	144	obs	5	m	5.905544148	Test_1	-0.015417100274725275
20191017T085753_ProShame2_127_m_unobs_5_NA_E1_15_5.905544148	127	unobs	5	m	5.905544148	Test_1	0.005342533945221437
20190705T094651_ProShame2_79_m_obs_4_M_E2_6_4.054757016	79	obs	4	m	4.054757016	Test_2	0.018889594551282057
20190705T093018_ProShame2_78_w_obs_4_M_E2_6_4.054757016	78	obs	4	w	4.054757016	Test_2	-0.022805893589743595
20190906T083128_ProShame2_111_w_unobs_4_NA_E1_12_4.060232717	111	unobs	4	w	4.060232717	Test_2	-0.03405073437500001
20190815T102203_ProShame2_107_m_unobs_4_NA_E2_11_4.27652293	107	unobs	4	m	4.27652293	Test_2	-0.01501880769230765
20190723T092116_ProShame2_41_m_unobs_4_NA_E2_8_4.284736482	41	unobs	4	m	4.284736482	Test_2	0.004041758012820514
20190815T103253_ProShame2_108_m_unobs_4_NA_E2_11_4.336755647	108	unobs	4	m	4.336755647	Test_2	-0.010194259615384643
20190718T094249_ProShame2_35_m_unobs_4_NA_E2_7_4.34770705	35	unobs	4	m	4.34770705	Test_2	0.03296606891025644
20190925T094811_ProShame2_138_m_obs_4_F_E2_13_4.366872005	138	obs	4	m	4.366872005	Test_2	-0.0263507644230769
20190723T102440_ProShame2_44_m_unobs_4_NA_E1_8_4.421629021	44	unobs	4	m	4.421629021	Test_2	-0.004398038782051295
20190815T093011_ProShame2_105_w_unobs_4_NA_E1_11_4.470910335	105	unobs	4	w	4.470910335	Test_2	0.08068710302197805
20190718T095446_ProShame2_36_w_unobs_4_NA_E1_7_4.495550992	36	unobs	4	w	4.495550992	Test_2	-0.02627737820512818
20190814T101129_ProShame2_48_m_unobs_4_NA_E2_10_4.501026694	48	unobs	4	m	4.501026694	Test_2	0.003133176282051342
20190703T101223_ProShame2_73_w_obs_4_M_E2_6_4.506502396	73	obs	4	w	4.506502396	Test_2	-0.0022009886752136967
20190801T094227_ProShame2_100_w_obs_4_M_E2_10_4.5229295	100	obs	4	w	4.5229295	Test_2	-0.0050306778846153834
20191010T105901_ProShame2_122_w_unobs_4_F_E1_14_4.558521561	122	unobs	4	w	4.558521561	Test_2	0.02422144230769231
20190621T094648_ProShame2_66_m_obs_4_F_E1_5_4.577686516	66	obs	4	m	4.577686516	Test_2	0.04480995833333331
20190703T095641_ProShame2_75_m_obs_4_M_E2_6_4.583162218	75	obs	4	m	4.583162218	Test_2	0.01870339615384623
20190703T092802_ProShame2_74_w_obs_4_M_E2_6_4.583162218	74	obs	4	w	4.583162218	Test_2	-0.002431249999999998
20190926T105915_ProShame2_146_m_obs_4_F_E1_14_4.651608487	146	obs	4	m	4.651608487	Test_2	0.0034336666666667267
