"Subject"	"ID"	"Condition"	"Age"	"Gender"	"Age.cont"	"Trial"	"Mean"
"38"	"20190628T084403_ProShame2_69_w_obs_4_M_E2_5_4.818617385"	"69"	"obs"	"4"	"w"	"4.818617385"	"Test 1"	-0.0347346173076923
"39"	"20190628T084403_ProShame2_69_w_obs_4_M_E2_5_4.818617385"	"69"	"obs"	"4"	"w"	"4.818617385"	"Test 2"	-0.0250719826923077
"40"	"20190628T091311_ProShame2_70_w_obs_4_M_E2_5_4.76386037"	"70"	"obs"	"4"	"w"	"4.76386037"	"Test 1"	-0.0147683716346154
"41"	"20190628T091311_ProShame2_70_w_obs_4_M_E2_5_4.76386037"	"70"	"obs"	"4"	"w"	"4.76386037"	"Test 2"	-0.0477501947115384
"42"	"20190628T093723_ProShame2_71_w_obs_5_M_E2_5_5.199178645"	"71"	"obs"	"5"	"w"	"5.199178645"	"Test 1"	0.00835413541666667
"43"	"20190628T093723_ProShame2_71_w_obs_5_M_E2_5_5.199178645"	"71"	"obs"	"5"	"w"	"5.199178645"	"Test 2"	0.0350159270833333
"44"	"20190628T095218_ProShame2_72_m_obs_4_M_E2_5_4.698151951"	"72"	"obs"	"4"	"m"	"4.698151951"	"Test 1"	-0.0116745480769231
"45"	"20190628T095218_ProShame2_72_m_obs_4_M_E2_5_4.698151951"	"72"	"obs"	"4"	"m"	"4.698151951"	"Test 2"	-0.0187036395299145
"46"	"20190703T092802_ProShame2_74_w_obs_4_M_E2_6_4.583162218"	"74"	"obs"	"4"	"w"	"4.583162218"	"Test 1"	-0.040790696474359
"47"	"20190703T092802_ProShame2_74_w_obs_4_M_E2_6_4.583162218"	"74"	"obs"	"4"	"w"	"4.583162218"	"Test 2"	0.00625794711538461
"48"	"20190703T095641_ProShame2_75_m_obs_4_M_E2_6_4.583162218"	"75"	"obs"	"4"	"m"	"4.583162218"	"Test 1"	-0.0135957862179487
"49"	"20190703T095641_ProShame2_75_m_obs_4_M_E2_6_4.583162218"	"75"	"obs"	"4"	"m"	"4.583162218"	"Test 2"	-0.0209203528846154
"50"	"20190703T101223_ProShame2_73_w_obs_4_M_E2_6_4.506502396"	"73"	"obs"	"4"	"w"	"4.506502396"	"Test 1"	-0.0174987916666667
"51"	"20190703T101223_ProShame2_73_w_obs_4_M_E2_6_4.506502396"	"73"	"obs"	"4"	"w"	"4.506502396"	"Test 2"	0.0205158878205128
"52"	"20190703T103035_ProShame2_76_w_obs_5_M_E1_6_5.631759069"	"76"	"obs"	"5"	"w"	"5.631759069"	"Test 1"	0.0633726025641026
"53"	"20190703T103035_ProShame2_76_w_obs_5_M_E1_6_5.631759069"	"76"	"obs"	"5"	"w"	"5.631759069"	"Test 2"	-0.00273778846153847
"54"	"20190703T104639_ProShame2_77_w_obs_5_M_E1_6_5.661875428"	"77"	"obs"	"5"	"w"	"5.661875428"	"Test 1"	0.0153001875
"55"	"20190703T104639_ProShame2_77_w_obs_5_M_E1_6_5.661875428"	"77"	"obs"	"5"	"w"	"5.661875428"	"Test 2"	-0.0322440048076923
"56"	"20190705T093018_ProShame2_78_w_obs_4_M_E2_6_4.054757016"	"78"	"obs"	"4"	"w"	"4.054757016"	"Test 1"	0.0129775299679487
